NOTE,PROCEDURE,MOD,PAR_AMOUNT,DESC
,27524,,"4,100.00 ", TREAT KNEECAP FRACTURE 
,27530,,"1,500.00 ", TREAT KNEE FRACTURE 
,27535,,"5,264.00 ", TREAT KNEE FRACTURE 
,27536,,"6,832.00 ", TREAT KNEE FRACTURE 
,27538,,"4,600.00 ", TREAT KNEE FRACTURE(S) 
,27552,,"2,607.00 ", TREAT KNEE DISLOCATION 
,27560,,"1,313.00 ", TREAT KNEECAP DISLOCATION 
,27562,,"2,150.00 ", TREAT KNEECAP DISLOCATION 
,27566,,"4,500.00 ", TREAT KNEECAP DISLOCATION 
,27570,,797.00 , MUA KNEE 
,27599,,"1,491.00 ", LEG SURGERY PROCEDURE 
,27600,,"2,200.00 ", DECOMPRESSION OF LOWER LEG 
,27602,,"2,507.00 ", DECOMPRESSION OF LOWER LEG 
,27603,,"1,884.00 ", DRAIN LOWER LEG LESION 
,27606,,"1,320.00 ", INCISION OF ACHILLES TENDON 
,27607,,"2,673.00 ", TREAT LOWER LEG BONE LESION 
,27620,,"2,650.00 ", EXPLORE/TREAT ANKLE JOINT 
,27630,,"1,846.00 ", REMOVAL OF TENDON LESION 
,27632,,"1,645.00 ", EXC LEG/ANKLE LES SC > 3 CM 
,27635,,"3,480.00 ", REMOVE LOWER LEG BONE LESION 
,27648,,643.00 , INJECTION FOR ANKLE X-RAY 
,27650,,"3,300.00 ", REPAIR ACHILLES TENDON 
,27652,,"4,200.00 ", REPAIR/GRAFT ACHILLES TENDON 
,27658,,"1,972.00 "," REPAIR OF LEG TENDON, EACH "
,27659,,"2,520.00 "," REPAIR OF LEG TENDON, EACH "
,27675,,"2,326.00 ", REPAIR LOWER LEG TENDONS 
,27680,,"1,814.00 ", RELEASE OF LOWER LEG TENDON 
,27681,,"2,732.00 ", RELEASE OF LOWER LEG TENDONS 
,27685,,"2,478.00 ", REVISION OF LOWER LEG TENDON 
,27687,,"1,650.00 ", REVISION OF CALF TENDON 
,27695,,"3,000.00 ", REPAIR OF ANKLE LIGAMENT 
,27698,,"4,040.00 ", REPAIR OF ANKLE LIGAMENT 
,27720,,"5,400.00 ", REPAIR OF TIBIA 
,27726,,"4,627.00 ", REPAIR FIBULA NONUNION 
,27750,,"1,715.00 ", TREATMENT OF TIBIA FRACTURE 
,27752,,"2,640.00 ", TREATMENT OF TIBIA FRACTURE 
,27758,,"4,800.00 ", TREATMENT OF TIBIA FRACTURE 
,27759,,"5,574.00 ", TREATMENT OF TIBIA FRACTURE 
,27760,,"1,500.00 ", CLTX MEDIAL ANKLE FX 
,27766,,"3,270.00 ", OPTX MEDIAL ANKLE FX 
,27767,,"1,200.00 ", CLTX POST ANKLE FX 
,27768,,"1,961.00 ", CLTX POST ANKLE FX W/MNPJ 
,27780,,"1,501.00 ", TREATMENT OF FIBULA FRACTURE 
,27786,,"1,500.00 ", TREATMENT OF ANKLE FRACTURE 
,27788,,"4,824.00 ", TREATMENT OF ANKLE FRACTURE 
,27792,,"2,480.00 ", TREATMENT OF ANKLE FRACTURE 
,27808,,"1,509.00 ", TREATMENT OF ANKLE FRACTURE 
,27810,,"2,466.00 ", TREATMENT OF ANKLE FRACTURE 
,27814,,"4,288.00 ", TREATMENT OF ANKLE FRACTURE 
,27818,,"2,454.00 ", TREATMENT OF ANKLE FRACTURE 
,27822,,"4,610.00 ", TREATMENT OF ANKLE FRACTURE 
,27823,,"5,360.00 ", TREATMENT OF ANKLE FRACTURE 
,27824,,"1,450.00 ", TREAT LOWER LEG FRACTURE 
,27825,,"2,572.00 ", TREAT LOWER LEG FRACTURE 
,27827,,"5,896.00 ", TREAT LOWER LEG FRACTURE 
,27828,,"7,250.00 ", TREAT LOWER LEG FRACTURE 
,27829,,"3,538.00 ", TREAT LOWER LEG JOINT 
,27840,,"2,744.00 ", TREAT ANKLE DISLOCATION 
,27848,,"3,278.00 ", TREAT ANKLE DISLOCATION 
,27860,,925.00 , FIXATION OF ANKLE JOINT 
,28003,,"1,961.00 ", TREATMENT OF FOOT INFECTION 
,28008,,"1,513.00 ", INCISION OF FOOT FASCIA 
,28035,,"2,124.00 ", DECOMPRESSION OF TIBIA NERVE 
,28043,,"1,390.00 ", EXCISION OF FOOT LESION 
,28060,,"1,601.00 "," PARTIAL REMOVAL, FOOT FASCIA "
,28080,,"1,376.00 ", REMOVAL OF FOOT LESION 
,28090,,"1,700.00 ", REMOVAL OF FOOT LESION 
,28110,,"1,600.00 ", PART REMOVAL OF METATARSAL 
,28110,,"1,512.00 ", PART REMOVAL OF METATARSAL 
,28118,,"1,989.00 ", REMOVAL OF HEEL BONE 
,28122,,"2,160.00 ", PARTIAL REMOVAL OF FOOT BONE 
,28124,,"3,043.00 ", PARTIAL REMOVAL OF TOE 
,28193,,"1,800.00 ", REMOVAL OF FOOT FOREIGN BODY 
,28208,,"1,576.00 ", REPAIR OF FOOT TENDON 
,28232,,"1,200.00 ", INCISION OF TOE TENDON 
,28285,,"1,560.00 ", REPAIR OF HAMMERTOE 
,28289,,"1,961.00 ", REPAIR HALLUX RIGIDUS 
,28296,,"1,700.00 ", CORRECTION OF BUNION 
,28297,,"3,091.00 ", CORRECTION OF BUNION 
,28299,,"3,200.00 ", CORRECTION OF BUNION 
,28308,,"1,700.00 ", INCISION OF METATARSAL 
,28315,,"1,484.00 ", REMOVAL OF SESAMOID BONE 
,28320,,"2,600.00 ", REPAIR OF FOOT BONES 
,28322,,"2,660.00 ", REPAIR OF METATARSALS 
,28400,,"1,004.00 ", TREATMENT OF HEEL FRACTURE 
,28415,,"4,500.00 ", TREAT HEEL FRACTURE 
,28430,,965.00 , TREATMENT OF ANKLE FRACTURE 
,28445,,"5,896.00 ", TREAT ANKLE FRACTURE 
,28450,,"1,199.00 "," TREAT MIDFOOT FRACTURE, EACH "
,28455,,"1,270.00 "," TREAT MIDFOOT FRACTURE, EACH "
,28456,,"1,491.00 ", TREAT MIDFOOT FRACTURE 
,28470,,792.00 , TREAT METATARSAL FRACTURE 
,28475,,"1,012.00 ", TREAT METATARSAL FRACTURE 
,28485,,"2,894.00 ", TREAT METATARSAL FRACTURE 
,28490,,643.00 , TREAT BIG TOE FRACTURE 
,28495,,607.00 , TREAT BIG TOE FRACTURE 
,28510,,590.00 , TREATMENT OF TOE FRACTURE 
,28515,,622.00 , TREATMENT OF TOE FRACTURE 
,28530,,440.00 , TREAT SESAMOID BONE FRACTURE 
,28615,,"2,868.00 ", REPAIR FOOT DISLOCATION 
,28730,,"3,450.00 ", FUSION OF FOOT BONES 
,28737,,"2,617.00 ", REVISION OF FOOT BONES 
,28740,,"3,423.00 ", FUSION OF FOOT BONES 
,28750,,"2,200.00 ", FUSION OF BIG TOE JOINT 
,28805,,"2,755.00 ", AMPUTATION THRU METATARSAL 
,28999,,"3,500.00 ", Unlisted Implant 
,29065,,295.00 , APPLICATION OF LONG ARM CAST 
,29075,,275.00 , APPLICATION OF FOREARM CAST 
,29105,,428.00 , APPLY LONG ARM SPLINT 
,29125,,294.00 , APPLY FOREARM SPLINT 
,29130,,175.00 , APPLICATION OF FINGER SPLINT 
,29345,,502.00 , APPLICATION OF LONG LEG CAST 
,29355,,595.00 , APPLICATION OF LONG LEG CAST 
,29405,,333.00 , APPLY SHORT LEG CAST 
,29425,,260.00 , APPLY SHORT LEG CAST 
,29515,,365.00 , APPLICATION LOWER LEG SPLINT 
,29580,,150.00 , APPLICATION OF PASTE BOOT 
,29806,,"5,500.00 ", SHOULDER ARTHROSCOPY/SURGERY 
,29807,,"5,400.00 ", SHOULDER ARTHROSCOPY/SURGERY 
,29821,,"3,886.00 ", SHOULDER ARTHROSCOPY/SURGERY 
,29822,,"2,836.00 ", SHOULDER ARTHROSCOPY/SURGERY 
,29823,,"4,005.00 ", SHOULDER ARTHROSCOPY/SURGERY 
,29824,,"3,940.00 ", SHOULDER ARTHROSCOPY/SURGERY 
,29825,,"3,733.00 ", SHOULDER ARTHROSCOPY/SURGERY 
,29826,,"3,275.00 ", SHOULDER ARTHROSCOPY/SURGERY 
,29827,,"5,400.00 ", ARTHROSCOP ROTATOR CUFF REPR 
,29828,,"4,200.00 ", ARTHROSCOPY BICEPS TENODESIS 
,29836,,"4,400.00 ", ELBOW ARTHROSCOPY/SURGERY 
,29838,,"3,957.00 ", ELBOW ARTHROSCOPY/SURGERY 
,29840,,"2,408.00 ", WRIST ARTHROSCOPY 
,29844,,"2,965.00 ", WRIST ARTHROSCOPY/SURGERY 
,29845,,"3,347.00 ", WRIST ARTHROSCOPY/SURGERY 
,29846,,"3,247.00 ", WRIST ARTHROSCOPY/SURGERY 
,29848,,"2,246.00 ", WRIST ENDOSCOPY/SURGERY 
,29855,,"4,146.00 ", TIBIAL ARTHROSCOPY/SURGERY 
,29860,,"4,005.00 "," HIP ARTHROSCOPY, DX "
,29862,,"4,737.00 ", HIP ARTHROSCOPY/SURGERY 
,29870,,"2,372.00 "," KNEE ARTHROSCOPY, DX "
,29871,,"2,600.00 ", KNEE ARTHROSCOPY/DRAINAGE 
,29873,,"3,254.00 ", KNEE ARTHROSCOPY/SURGERY 
,29874,,"2,648.00 ", KNEE ARTHROSCOPY/SURGERY 
,29875,,"2,856.00 ", KNEE ARTHROSCOPY/SURGERY 
,29876,,"4,000.00 ", KNEE ARTHROSCOPY/SURGERY 
,29877,,"3,500.00 ", KNEE ARTHROSCOPY/SURGERY 
,29879,,"3,252.00 ", KNEE ARTHROSCOPY/SURGERY 
,29880,,"3,647.00 ", KNEE ARTHROSCOPY/SURGERY 
,29881,,"3,510.00 ", KNEE ARTHROSCOPY/SURGERY 
,29882,,"4,500.00 ", KNEE ARTHROSCOPY/SURGERY 
,29884,,"3,717.00 ", KNEE ARTHROSCOPY/SURGERY 
,29888,,"5,600.00 ", KNEE ARTHROSCOPY/SURGERY 
,29891,,"3,684.00 ", ANKLE ARTHROSCOPY/SURGERY 
,29892,,"3,284.00 ", ANKLE ARTHROSCOPY/SURGERY 
,29893,,"2,144.00 "," SCOPE, PLANTAR FASCIOTOMY "
,29895,,"3,005.00 ", ANKLE ARTHROSCOPY/SURGERY 
,29897,,"3,065.00 ", ANKLE ARTHROSCOPY/SURGERY 
,29898,,"3,629.00 ", ANKLE ARTHROSCOPY/SURGERY 
,29901,,"2,368.00 "," MCP JOINT ARTHROSCOPY, SURG "
,29906,,"3,599.00 ", SUBTALAR ARTHRO W/DEB 
,29914,,"4,479.00 ", HIP ARTHRO W/FEMOROPLASTY 
,29915,,"5,180.00 ", HIP ARTHRO ACETABULOPLASTY 
,29999,,0.00 , ARTHROSCOPY OF JOINT 
,29999,,"3,500.00 ", ARTHROSCOPY OF JOINT 
,35190,,"4,300.00 ", REPAIR BLOOD VESSEL LESION 
,35207,,"5,875.00 ", REPAIR BLOOD VESSEL LESION 
,35207,,"14,247.00 ", REPAIR BLOOD VESSEL LESION 
,36415,,28.00 , ROUTINE VENIPUNCTURE 
,37618,,"2,042.00 ", LIGATION OF EXTREMITY ARTERY 
,38220,,645.00 , BONE MARROW ASPIRATION 
,61783,,"2,500.00 ", SCAN PROC SPINAL 
,62264,,"2,000.00 ", EPIDURAL LYSIS ON SINGLE DAY 
,62273,,"1,300.00 ", INJECT EPIDURAL PATCH 
,62290,,"2,103.00 ", INJECT FOR SPINE DISK X-RAY 
,62321,,"1,500.00 ", INJECT SPINE C/T WITH IMAGING 
,62323,,"1,350.00 ", INJECT SPINE LUMBAR With IMAGING 
,63030,,"10,626.00 ", LOW BACK DISK SURGERY 
,63045,,"12,978.00 ", REMOVAL OF SPINAL LAMINA 
,63045,,"13,500.00 ", REMOVAL OF SPINAL LAMINA 
,63046,,"7,958.00 ", REMOVAL OF SPINAL LAMINA 
,63046,,"9,500.00 ", REMOVAL OF SPINAL LAMINA 
,63047,,"11,000.00 ", REMOVAL OF SPINAL LAMINA 
,63048,,"3,500.00 ", REMOVE SPINAL LAMINA ADD-ON 
,63081,,"8,000.00 ", REMOVAL OF VERTEBRAL BODY 
,63650,,"5,915.00 ", IMPLANT NEUROELECTRODES 
,63650,,"5,474.00 ", IMPLANT NEUROELECTRODES 
,63655,,"5,441.00 ", IMPLANT NEUROELECTRODES 
,63655,,"8,000.00 ", IMPLANT NEUROELECTRODES 
,63661,,"4,256.00 ", REMOVE SPINE ELTRD PERQ ARAY 
,63661,,"2,449.00 ", REMOVE SPINE ELTRD PERQ ARAY 
,63662,,"6,000.00 ", REMOVE SPINE ELTRD PLATE 
,63662,,"4,500.00 ", REMOVE SPINE ELTRD PLATE 
,63685,,"4,870.00 ", INSRT/REDO SPINE N GENERATOR 
,63685,,"3,400.00 ", INSRT/REDO SPINE N GENERATOR 
,63688,,"5,010.00 ", REVISE/REMOVE NEURORECEIVER 
,63688,,"3,100.00 ", REVISE/REMOVE NEURORECEIVER 
,63709,,"9,556.00 ", REPAIR SPINAL FLUID LEAKAGE 
,64400,,700.00 ," N BLOCK INJ, TRIGEMINAL "
,64405,,850.00 ," N BLOCK INJ, OCCIPITAL "
,64417,,"2,635.00 "," N BLOCK INJ, AXILLARY "
,64418,,877.00 ," N BLOCK INJ, SUPRASCAPULAR "
,64420,,808.00 ," N BLOCK INJ, INTERCOST, SNG "
,64421,,"2,100.00 "," N BLOCK INJ, INTERCOST, MLT "
,64445,,"1,900.00 "," N BLOCK INJ, SCIATIC, SNG "
,64447,,"1,315.00 "," N BLOCK INJ FEM, SINGLE "
,64450,,360.00 ," N BLOCK, OTHER PERIPHERAL "
,64451,,437.00 , Inj Nerves Innervating Sac Joint 
,64454,,442.00 , Inj Nerves Genicular Nerve Branch 
,64455,,190.00 ," N BLOCK INJ, PLANTAR DIGIT "
,64479,,"2,000.00 ", INJ FORAMEN EPIDURAL C/T 
,64480,,"2,000.00 ", INJ FORAMEN EPIDURAL ADD-ON 
,64483,,"1,457.00 ", INJ FORAMEN EPIDURAL L/S 
,64484,,825.00 , INJ FORAMEN EPIDURAL ADD-ON 
,64490,,"2,040.00 ", INJ PARAVERT F JNT C/T 1 LEV 
,64491,,"1,030.00 ", INJ PARAVERT F JNT C/T 2 LEV 
,64492,,900.00 , INJ PARAVERT F JNT C/T 3 LEV 
,64493,,"2,300.00 ", INJ PARAVERT F JNT L/S 1 LEV 
,64494,,871.00 , INJ PARAVERT F JNT L/S 2 LEV 
,64495,,"1,375.00 ", INJ PARAVERT F JNT L/S 3 LEV 
,64505,,738.00 ," N BLOCK, SPENOPALATINE GANGL "
,64510,,"1,350.00 "," N BLOCK, STELLATE GANGLION "
,64520,,"1,360.00 "," N BLOCK, LUMBAR/THORACIC "
,64555,,"2,400.00 ", IMPLANT NEUROELECTRODES 
,64555,,"3,366.00 ", IMPLANT NEUROELECTRODES 
,64575,,"4,407.00 ", IMPLANT NEUROELECTRODES 
,64615,,562.00 , Chemodenenervation of muscles 
,64616,,828.00 , Destruction Neurolytic Agent Neck 
,64624,,842.00 , Destruction By Neurolytic Agent Gen Nerve Branches 
,64625,,"1,030.00 ", Radiofrequency Ablation Nerves Innerv Sac Joint 
,64633,,"2,456.00 ", DESTROY CERV/THOR FACET JNT 
,64634,,"1,178.00 ", DESTROY C/TH FACET JNT ADDL 
,64635,,"2,200.00 ", DESTROY LUMB/SAC FACET JNT 
,64636,,"1,159.00 ", DESTROY L/S FACET JNT ADDL 
,64640,,544.00 , INJECTION TREATMENT OF NERVE 
,64644,,853.00 , Chemodenervation One Extremity 5 Or More Muscles 
,64646,,853.00 , Chemodenervation Trunk 1 To 5 Muscles 
,64647,,"1,302.00 ", 6 Or More Muscles 
,64702,,"2,692.00 ", REVISE FINGER/TOE NERVE 
,64702,,"3,275.00 ", REVISE FINGER/TOE NERVE 
,64704,,"2,459.00 ", REVISE HAND/FOOT NERVE 
,64708,,"3,154.00 ", REVISE ARM/LEG NERVE 
,64708,,"4,095.00 ", REVISE ARM/LEG NERVE 
,64713,,"12,922.00 ", REVISION OF ARM NERVE(S) 
,64718,,"3,741.00 ", REVISE ULNAR NERVE AT ELBOW 
,64719,,"4,131.00 ", REVISE ULNAR NERVE AT WRIST 
,64721,,"2,294.00 ", CARPAL TUNNEL SURGERY 
,64722,,"4,361.00 ", RELIEVE PRESSURE ON NERVE(S) 
,64727,,"1,274.00 ", INTERNAL NERVE REVISION 
,64772,,"3,633.00 ", INCISION OF SPINAL NERVE 
,64772,,"3,690.00 ", INCISION OF SPINAL NERVE 
,64774,,"2,400.00 ", REMOVE SKIN NERVE LESION 
,64776,,"2,400.00 ", REMOVE DIGIT NERVE LESION 
,64787,,"2,485.00 ", IMPLANT NERVE END 
,64831,,"3,886.00 ", REPAIR OF DIGIT NERVE 
,64905,,"10,313.00 ", NERVE PEDICLE TRANSFER 
,64910,,"6,500.00 ", NERVE REPAIR W/ALLOGRAFT 
,64910,,"5,225.00 ", NERVE REPAIR W/ALLOGRAFT 
,64911,,"8,300.00 ", NEURORRAPHY W/VEIN AUTOGRAFT 
,64912,,"4,293.00 ", Nerve Repair With Nerve Allograft Each Nerve 
,64913,,"1,072.00 ", Nerve Repair With Allograft Addtnl Strand 
,64999,,"1,598.00 ", NERVOUS SYSTEM SURGERY 
,69990,,"2,000.00 ", MICROSURGERY ADD-ON 
,70030,,223.00 , X-RAY EYE FOR FOREIGN BODY 
,70200,,167.00 , X-RAY EXAM OF EYE SOCKETS 
,70551,,"5,300.00 ", MRI BRAIN W/O DYE 
,70552,,"5,300.00 ", MRI BRAIN W/DYE 
,70553,,"5,300.00 ", MRI BRAIN W/O & W/DYE 
,71020,,122.00 , CHEST X-RAY 
,71046,,120.00 , 2 VIEW CHEST XRAY 
,71100,,107.00 , X-RAY EXAM OF RIBS 
,71110,,165.00 , X-RAY EXAM OF RIBS 
,71120,,124.00 , X-RAY EXAM OF BREASTBONE 
,71550,,"5,300.00 ", MRI CHEST W/O DYE 
,71552,,"5,300.00 ", MRI CHEST W/O & W/DYE 
,72040,,120.00 , X-RAY EXAM OF NECK SPINE 
,72050,,310.00 , X-RAY EXAM OF NECK SPINE 
,72070,,130.00 , X-RAY EXAM OF THORACIC SPINE 
,72080,,156.00 , X-RAY EXAM OF TRUNK SPINE 
,72082,,240.00 , XRAY SPINE ENTIRE 2-3 VIEWS 
,72083,,312.00 , XRAY SPINE ENTIRE 4-5 VIEWS 
,72100,,150.00 , X-RAY EXAM OF LOWER SPINE 
,72110,,270.00 , X-RAY EXAM OF LOWER SPINE 
,72141,,"5,300.00 ", MRI NECK SPINE W/O DYE 
,72142,,"5,300.00 ", MRI NECK SPINE W/DYE 
,72146,,"5,300.00 ", MRI CHEST SPINE W/O DYE 
,72147,,"5,300.00 ", MRI CHEST SPINE W/DYE 
,72148,,"5,300.00 ", MRI LUMBAR SPINE W/O DYE 
,72149,,"5,300.00 ", MRI LUMBAR SPINE W/DYE 
,72156,,"5,300.00 ", MRI NECK SPINE W/O & W/DYE 
,72157,,"5,300.00 ", MRI CHEST SPINE W/O & W/DYE 
,72158,,"5,300.00 ", MRI LUMBAR SPINE W/O & W/DYE 
,72170,,90.00 , X-RAY EXAM OF PELVIS 
,72190,,116.00 , X-RAY EXAM OF PELVIS 
,72195,,"5,300.00 ", MRI PELVIS W/O DYE 
,72197,,"5,300.00 ", MRI PELVIS W/O & W/DYE 
,72220,,103.00 , X-RAY EXAM OF TAILBONE 
,72275,,"1,500.00 ", EPIDUROGRAPHY 
,72295,,"2,500.00 ", X-RAY OF LOWER SPINE DISK 
,73000,,125.00 , X-RAY EXAM OF COLLAR BONE 
,73010,,110.00 , X-RAY EXAM OF SHOULDER BLADE 
,73020,,146.00 , X-RAY EXAM OF SHOULDER 
,73030,,166.00 , X-RAY EXAM OF SHOULDER 
,73040,,773.00 , CONTRAST X-RAY OF SHOULDER 
,73060,,120.00 , X-RAY EXAM OF HUMERUS 
,73070,,102.00 , X-RAY EXAM OF ELBOW 
,73080,,105.00 , X-RAY EXAM OF ELBOW 
,73090,,95.00 , X-RAY EXAM OF FOREARM 
,73100,,114.00 , X-RAY EXAM OF WRIST 
,73110,,125.00 , X-RAY EXAM OF WRIST 
,73120,,175.00 , X-RAY EXAM OF HAND 
,73130,,105.00 , X-RAY EXAM OF HAND 
,73140,,100.00 , X-RAY EXAM OF FINGER(S) 
,73218,,"5,300.00 ", MRI UPPER EXTREMITY W/O DYE 
,73220,,"5,300.00 ", MRI UPPR EXTREMITY W/O&W/DYE 
,73221,,"5,300.00 ", MRI JOINT UPR EXTREM W/O DYE 
,73222,,"5,300.00 ", MRI JOINT UPR EXTREM W/DYE 
,73223,,"5,300.00 ", MRI JOINT UPR EXTR W/O&W/DYE 
,73501,,100.00 , Xray Hip Unilateral 1 View 
,73502,,120.00 , XRAY HIP UNILATERAL 2-3 VIEWS WITH PELVIS 
,73503,,253.00 , Radiologic Exam hip Unilateral With Pelvis When Pe 
,73521,,135.00 , XRAY HIP BILATERAL WITH PELVIS 2 VIEWS 
,73525,,405.00 , CONTRAST X-RAY OF HIP 
,73551,,124.00 , XRAY FEMUR 1 VIEW 
,73552,,125.00 , XRAY FEMUR MINIMUM OF 2 VIEWS 
,73560,,145.00 ," X-RAY EXAM OF KNEE, 1 OR 2 "
,73562,,155.00 ," X-RAY EXAM OF KNEE, 3 "
,73564,,165.00 ," X-RAY EXAM, KNEE, 4 OR MORE "
,73565,,140.00 , X-RAY EXAM OF KNEES 
,73580,,800.00 , CONTRAST X-RAY OF KNEE JOINT 
,73590,,112.00 , X-RAY EXAM OF LOWER LEG 
,73600,,85.00 , X-RAY EXAM OF ANKLE 
,73610,,95.00 , X-RAY EXAM OF ANKLE 
,73615,,325.00 , CONTRAST X-RAY OF ANKLE 
,73620,,68.00 , X-RAY EXAM OF FOOT 
,73630,,89.00 , X-RAY EXAM OF FOOT 
,73650,,80.00 , X-RAY EXAM OF HEEL 
,73718,,"5,300.00 ", MRI LOWER EXTREMITY W/O DYE 
,73719,,"5,300.00 ", MRI LOWER EXTREMITY W/DYE 
,73720,,"5,300.00 ", MRI LWR EXTREMITY W/O&W/DYE 
,73721,,"5,300.00 ", MRI JNT OF LWR EXTRE W/O DYE 
,73722,,"5,300.00 ", MRI JOINT OF LWR EXTR W/DYE 
,73723,,"5,300.00 ", MRI JOINT LWR EXTR W/O&W/DYE 
,74181,,"5,300.00 ", MRI ABDOMEN W/O DYE 
,76000,,289.00 , FLUOROSCOPE EXAMINATION 
,76881,,345.00 , US XTR NON-VASC COMPLETE 
,76882,,350.00 , US XTR NON-VASC LMTD 
,76942,,665.00 , ECHO GUIDE FOR BIOPSY 
,77002,,420.00 , NEEDLE LOCALIZATION BY XRAY 
,77003,,600.00 , FLUOROGUIDE FOR SPINE INJECT 
,77071,,134.00 , X-RAY STRESS VIEW 
,80305,,125.00 , UDS CUP 
,80307,,432.00 , Drug Screen Urine 
,81025,,35.00 , URINE PREGNANCY TEST 
,82962,,20.00 , GLUCOSE BLOOD TEST 
,93041,,30.00 ," RHYTHM ECG, TRACING "
,95860,,386.00 ," MUSCLE TEST, ONE LIMB "
,95861,,950.00 ," MUSCLE TEST, 2 LIMBS "
,95864,,"1,682.00 "," MUSCLE TEST, 4 LIMBS "
,95870,,584.00 ," MUSCLE TEST, NONPARASPINAL "
,95874,,450.00 ," GUIDE NERV DESTR, NEEDLE EMG "
,95885,,268.00 , MUSC TST DONE W/NERV TST LIM 
,95886,,360.00 , MUSC TEST DONE W/N TEST COMP 
,95887,,350.00 , MUSC TST DONE W/N TST NONEXT 
,95907,,398.00 , Nerve Conduction Studies 1 To 2 
,95908,,480.00 , Nerve Conduction Studies 3-4 
,95909,,680.00 , Nerve Conduction Studies 5 To 6 
,95910,,880.00 , Nerve Conduction Studies 7 To 8 
,95911,,"1,000.00 ", Nerve Conduction Studies 9 To 10 
,95913,,"1,249.00 ", Nerve Conduction Studie 13 Or More 
,95937,,619.00 , NEUROMUSCULAR JUNCTION TEST 
,95938,,"2,358.00 ", SOMATOSENSORY TESTING 
,95939,,"3,549.00 ", C MOTOR EVOKED UPR&LWR LIMBS 
,95941,,"1,200.00 ", IOM Per Hour Outside Of OR 
,95971,,200.00 ," ANALYZE NEUROSTIM, SIMPLE "
,95972,,450.00 ," ANALYZE NEUROSTIM, COMPLEX "
,96365,,250.00 ," THER/PROPH/DIAG IV INF, INIT "
,96372,,63.00 ," THER/PROPH/DIAG INJ, SC/IM "
,96373,,76.00 ," THER/PROPH/DIAG INJ, IA "
,96401,,150.00 ," CHEMO, ANTI-NEOPL, SQ/IM "
,97010,,65.00 , HOT OR COLD PACKS THERAPY 
,97012,,80.00 , MECHANICAL TRACTION THERAPY 
,97014,,75.00 , ELECTRIC STIMULATION THERAPY 
,97018,,75.00 , PARAFFIN BATH THERAPY 
,97022,,55.00 , WHIRLPOOL THERAPY 
,97026,,58.00 , INFRARED THERAPY 
,97032,,115.00 , ELECTRICAL STIMULATION 
,97033,,95.00 , ELECTRIC CURRENT THERAPY 
,97035,,80.00 , ULTRASOUND THERAPY 
,97110,,115.00 , THERAPEUTIC EXERCISES 
,97112,,120.00 , NEUROMUSCULAR REEDUCATION 
,97116,,100.00 , GAIT TRAINING THERAPY 
,97124,,60.00 , MASSAGE THERAPY 
,97140,,105.00 , MANUAL THERAPY 
,97161,,347.00 , PT EVAL LOW COMPLEXITY 
,97162,,347.00 , PT EVAL MODERATE COMPLEXITY 
,97163,,347.00 , PT EVAL HIGH COMPLEXITY 
,97164,,239.00 , PT RE EVALUATION 
,97165,,335.00 , OT EVAL LOW COMPLEXITY 
,97166,,335.00 , OT EVAL MODERATE COMPLEXITY 
,97167,,360.00 , OT EVAL HIGH COMPLEXITY 
,97168,,225.00 , OT RE EVALUATION 
,97530,,125.00 , THERAPEUTIC ACTIVITIES 
,97535,,130.00 , SELF CARE MNGMENT TRAINING 
,97597,,293.00 , ACTIVE WOUND CARE/20 CM OR < 
,97605,,130.00 ," NEG PRESS WOUND TX, < 50 CM "
,97750,,100.00 , PHYSICAL PERFORMANCE TEST 
,97760,,170.00 , ORTHOTIC MGMT AND TRAINING 
,97763,,280.00 , C/O FOR ORTHOTIC/PROSTH USE 
,97810,,140.00 , ACUPUNCT W/O STIMUL 15 MIN 
,97813,,160.00 , ACUPUNCT W/STIMUL 15 MIN 
,98926,,117.00 , OSTEOPATHIC MANIPULATION 
,99024,,0.00 , POSTOP FOLLOW-UP VISIT 
,99051,,40.00 ," MED SERV, EVE/WKEND/HOLIDAY "
,99070,,75.00 , SPECIAL SUPPLIES 
,99070,,100.00 , SPECIAL SUPPLIES 
,99070,,650.00 , SPECIAL SUPPLIES 
,99070,,50.00 , SPECIAL SUPPLIES 
,99070,,30.00 , SPECIAL SUPPLIES 
,99070,,130.00 , SPECIAL SUPPLIES 
,99070,,200.00 , SPECIAL SUPPLIES 
,99072,,85.00 , additional supplies and clinical staff time to per 
,99152,,200.00 , MOD CS BY SAME PHYS 5 YRS OR OLDER 
,99153,,65.00 , MOD CS BY SAME PHYS ADD-ON 
,99202,,178.00 ," OFFICE/OUTPATIENT VISIT, NEW "
,99202,,164.00 ," OFFICE/OUTPATIENT VISIT, NEW "
,99203,,254.00 ," OFFICE/OUTPATIENT VISIT, NEW "
,99203,,237.00 ," OFFICE/OUTPATIENT VISIT, NEW "
,99204,,352.00 ," OFFICE/OUTPATIENT VISIT, NEW "
,99204,,350.00 ," OFFICE/OUTPATIENT VISIT, NEW "
,99205,,450.00 ," OFFICE/OUTPATIENT VISIT, NEW "
,99205,,651.00 ," OFFICE/OUTPATIENT VISIT, NEW "
,99211,,70.00 ," OFFICE/OUTPATIENT VISIT, EST "
,99212,,140.00 ," OFFICE/OUTPATIENT VISIT, EST "
,99212,,114.00 ," OFFICE/OUTPATIENT VISIT, EST "
,99213,,167.00 ," OFFICE/OUTPATIENT VISIT, EST "
